|class|order|family|genus|species|pollen unit|dispersal unit and peculiarities|size (pollen unit)|pollen class|polarity|shape|outline in polar view|shape (dry pollen)|outline in polar view (dry pollen)|infoldings (dry pollen)|aperture number|aperture type|aperture condition|aperture peculiarities|ornamentation LM|nexine|sexine|ornamentation SEM|tectum|infratectum|foot layer|endexine|intine|wall peculiarities|pollen coatings|reserves in cytoplasm|cell number|Ubisch bodies|how many figures?
0|Angiospermae|Saxifragales|Crassulaceae|Sedum|Sedum sexangulare|monad|monad|small (10-25 µm)|colporate|isopolar|oblate|triangular|prolate|lobate|aperture(s) sunken|3|colporus|colporate|-|scabrate|-|-|rugulate|eutectate|columellate|continuous|absent|monolayered|-|pollenkitt|-|2-celled|-|4
0|Angiospermae|Solanales|Convolvulaceae|Convolvulus|Convolvulus arvensis|monad|monad|large (51-100 µm)|colpate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|reticulate|-|-|perforate, microechinate|eutectate|columellate|continuous|absent|monolayered|-|pollenkitt|starch|2-celled|absent|4
0|Angiospermae|Caryophyllales|Caryophyllaceae|Herniaria|Herniaria glabra|monad|monad|small (10-25 µm)|-|-|spheroidal|circular|polygonal|polygonal|aperture(s) sunken|number varies|poroid|poroidate|aperture membrane ornamented, pantoaperturate|psilate|-|-|psilate|eutectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|polysaccharide vesicles|3-celled|present|1
0|Angiospermae|Caryophyllales|Caryophyllaceae|Spergularia|Spergularia media|monad|monad|small (10-25 µm)|colpate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|scabrate|-|-|microechinate, perforate|eutectate|columellate|continuous|absent|monolayered|-|pollenkitt|-|3-celled|-|4
0|Angiospermae|Brassicales|Brassicaceae|Alliaria|Alliaria petiolata|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|reticulate|-|-|reticulate|semitectate|columellate|discontinuous|compact-continuous|monolayered|-|tryphine|-|3-celled|absent|4
0|Angiospermae|Brassicales|Brassicaceae|Brassica|Brassica napus|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|reticulate|-|-|reticulate, heterobrochate, free-standing columellae|semitectate|columellate|continuous|absent|monolayered|-|tryphine|lipids|3-celled|absent|4
0|Angiospermae|Brassicales|Brassicaceae|Brassica|Brassica nigra|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|reticulate|-|-|reticulate|semitectate|columellate|discontinuous|compact-continuous|monolayered|-|tryphine|-|3-celled|absent|4
0|Angiospermae|Brassicales|Brassicaceae|Cardaria|Cardaria draba|monad|monad|small (10-25 µm)|colpate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|reticulate|present|present|reticulate|-|-|-|-|-|-|-|-|-|absent|5
0|Angiospermae|Brassicales|Brassicaceae|Lepidium|Lepidium cartilagineum|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|reticulate|-|-|reticulate|semitectate|columellate|discontinuous|compact-continuous|monolayered|-|tryphine|-|3-celled|absent|2
0|Angiospermae|Brassicales|Brassicaceae|Sinapis|Sinapis alba|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|aperture membrane ornamented|reticulate|-|-|reticulate|semitectate|columellate|discontinuous|compact-continuous|monolayered|-|tryphine|-|3-celled|absent|3
0|Angiospermae|unplaced|Boraginaceae|Echium|Echium vulgare|monad|monad|small (10-25 µm)|colporate|heteropolar|prolate|circular|prolate|triangular|aperture(s) sunken|3|colporus|colporate, tricolporate|aperture membrane ornamented|-|-|-|perforate|eutectate|columellate|continuous|absent|monolayered|-|pollenkitt|lipids|3-celled|absent|4
0|Angiospermae|unplaced|Boraginaceae|Nonea|Nonea pulla|monad|monad|small (10-25 µm)|colporate|isopolar|prolate|quadrangular|prolate|quadrangular|aperture(s) sunken|4|colporus|colporate|-|psilate|-|-|psilate, perforate|eutectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|lipids|3-celled|present|4
0|Angiospermae|unplaced|Boraginaceae|Phacelia|Phacelia tanacetifolia|monad|monad|small (10-25 µm)|colporate|isopolar|spheroidal|circular|prolate|elliptic|aperture(s) sunken|3|colporus|colporate, tricolporate|heteroaperturate, pseudocolpus, aperture membrane ornamented|-|present|present|microreticulate, perforate|-|-|-|-|-|-|-|-|-|present|3
0|Angiospermae|unplaced|Boraginaceae|Pulmonaria|Pulmonaria officinalis|monad|monad|medium-sized (26-50 µm)|colporate|isopolar|prolate|quadrangular|prolate|quadrangular|aperture(s) sunken|4|colporus|colporate, tetracolporate|stephanoaperturate|psilate|-|-|psilate, perforate|eutectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|-|3-celled|present|3
